CpG	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
7796806090_R04C01	0.0	0.020911789	1.2569456	2.8586137	1.4003041	0.0	0.43720007	1.8965073	0.8900008	0.0	0.0	0.0	1.5752563	0.8361969	0.95717406	2.1480064	0.0953609	1.6488827	0.24566746	0.9917288	0.0	1.6205225	1.0679722	0.0	1.323354	1.623117	0.0	0.0	0.73286706	1.3662133	0.0	0.0	0.0	0.0	0.0	1.5539203	0.0	0.0	0.29472327	1.5602648	0.0	0.0	1.2217863	0.9270084	1.0924411	0.0	0.0	0.14470553	1.8020661	0.0	1.679405	0.0	0.7860558	2.8554533	1.1723151	0.0	0.72901535	0.46224737	2.4616747	0.8413124	0.0	0.0	0.0	0.05944538	0.0	0.0	1.9670283	0.29271233	0.37431216	1.6385155	0.0	0.0	0.3599801	0.0	3.3337119	0.0	0.0	1.7469165	0.0	0.0	0.0	0.0	0.0	0.0	2.2045765	2.0445266	0.8385451	0.0	1.3663092	2.3695016	0.78847885	0.0	0.0	0.4093411	0.0	2.099984	1.7801085	0.14883143	0.42490625	1.8297615
6285633051_R04C01	0.0	0.0	0.0	1.498749	0.5138961	0.0	0.0	2.0258956	0.0	0.0	0.0	0.47980833	0.33900738	0.07039547	1.0811012	1.5605955	0.05780053	1.364517	0.0	0.56224775	0.0	1.0720272	1.2689362	0.0	0.78544825	1.1505479	0.1739726	0.0	1.0987713	0.31289482	0.0	0.0	0.0	0.0	0.350138	0.12292433	0.0	0.0	0.0	0.33340573	0.22757626	0.0	1.112215	0.0	0.0	0.46028566	0.9482057	1.7122288	0.89911246	1.5835705	1.640499	0.6587212	0.9351066	1.8974133	0.7164693	0.0	0.6775379	2.0217807	0.0	0.8858595	1.0524511	0.0	0.0	1.0583739	0.010642052	0.0	1.1156765	0.97437024	0.19884801	0.94814587	1.1389499	0.0	2.0797007	0.0	2.8908691	0.47467053	0.0	1.1266946	0.0	0.33762193	1.6200986	0.0	0.0	0.0	1.1302567	1.4440007	0.09276867	0.0	1.5574942	1.9086789	0.0	0.0	0.0	3.677886	0.0	1.2662537	0.0	1.211128	0.0	1.8271971
9993943017_R04C02	0.5451557	1.718988	0.0	2.1705644	0.0	1.0820308	0.25952423	0.0	0.0	0.0	1.3591075	0.0	0.26963663	0.0	0.06815958	0.0	0.0	0.0	0.0	1.4695983	0.7764864	1.3358974	1.3694973	0.6824453	1.2743868	0.0	1.8714242	0.0	0.50286424	0.62654877	2.5992143	0.0	0.35622025	0.0	0.65334266	0.15731335	0.83800536	0.0	0.77753323	0.0	0.0	0.0	0.0	0.0	0.10215378	0.0	1.3776594	0.14749312	0.0	0.0	0.0	1.7588077	0.41952443	0.3791933	0.0	0.63927627	1.7126455	0.0	0.0	0.42893028	0.0	0.0	0.0	1.828496	1.0986679	0.0	0.0	1.8400309	0.041080117	0.7049389	0.9506726	0.0	0.0	2.534211	0.0	1.2300287	1.2696245	0.28136563	0.0676167	0.43591928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2314825	0.09713185	0.17185497	0.48925638	0.64365387	0.17711711	0.0	0.0	0.0	0.0	0.8603735	2.6936426
7796806090_R03C01	0.0	4.9384346	2.050816	4.0873003	1.6285617	0.0	0.0	0.0	1.3754368	0.98912144	0.0	0.0	0.0	0.90407085	3.245323	4.0956764	3.6675088	0.0	2.9307144	0.16632128	0.0	3.7407122	1.8243628	0.0	0.8070591	3.7216372	0.0	0.0	0.118046045	0.0	2.3899095	0.0	0.66521597	2.6457515	0.0	2.0768046	0.0	0.0	2.7779946	0.0	0.0	0.0	0.7657752	1.6091014	3.5582538	0.0	0.0	0.0	0.49094653	0.0	0.0	0.064946175	0.0	3.1751266	0.34655952	0.0	0.0	0.0	4.265842	0.0	0.0	0.0	0.0	1.1203413	0.0	0.0	0.0	0.0	3.7763174	0.5325308	0.10802269	2.2437139	0.0	0.0	0.75772953	0.9310616	0.0	0.46671462	2.1646545	0.0	0.0	2.5955358	0.0	1.9792935	0.45512056	0.0	0.0	0.0	0.0	2.8219056	3.195319	0.5784564	0.0	0.0	0.0	0.0	2.6822987	0.0	3.1128883	0.84430885
3999997079_R01C02	1.3428622	0.0	0.0	1.1471661	0.0	0.0	0.0	0.0	0.0	0.14148283	0.45258713	0.0	0.0	0.0	0.021535873	2.4471831	1.0143448	0.0	0.0	0.0	0.0	3.0842772	2.6700373	0.0	0.5829684	0.0	2.8579717	0.0	1.3690475	0.0	0.17876029	0.0	1.9835811	0.0	3.0218604	0.04497242	0.88605267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.691626	0.90385795	0.0	0.9371946	0.0	2.3940136	0.0	0.6870551	0.0	0.0	0.0	1.6923716	0.0	0.0	0.0	0.24417102	0.0	3.1967988	1.9279592	1.084039	0.0	1.7132235	0.0	0.0	3.5953689	0.0	2.5522923	2.2607782	0.0	1.2985674	2.7210805	0.0	0.0	3.4625697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.140451	0.0	0.0	0.0	0.0	0.0	0.21252322
7796806055_R02C01	0.0	0.0	0.7055006	2.760498	1.995105	0.17487335	0.0	3.2940068	0.0	0.0	0.0	0.0	2.172512	0.21784687	0.0	0.85045433	0.0	3.3951387	0.0	1.1079569	0.5479498	0.102293015	0.73187447	0.0	0.0	1.5525092	0.0	0.0	0.0	2.333547	0.0	0.0	0.0	0.30835152	0.0	3.0523098	0.0	0.0	0.6470571	0.0	0.0	0.0	1.6501279	1.4721972	0.0	0.0	0.0	0.56942725	2.5992048	0.0	1.8606505	0.0	0.19614315	3.1160002	2.276393	0.0	1.3462992	0.0	0.0	1.719944	0.0	0.0	0.0	0.6552372	0.0	0.0	1.7388042	1.440927	0.0	1.7567377	0.0	0.0	0.0	0.030238628	3.5470872	0.0	0.0	3.05585	0.0	0.0	0.007859945	0.0	0.0	0.0	1.5460248	3.0893626	1.9893961	0.0	3.3566198	2.5757866	0.8300624	0.0	1.0262914	1.7980013	0.0	2.777562	1.5208335	1.0271087	0.14164305	1.6675062
7796806109_R05C01	0.27913404	2.4987302	2.5500355	3.9973097	0.084826946	3.132978	1.0890918	0.0	0.6267848	0.0	0.46845913	0.0	1.6673632	0.0	0.5923294	1.1916113	0.0729127	0.23369414	0.72817135	0.39890623	2.0861232	0.7267952	0.9472971	0.0	0.062219888	0.47152442	0.3961215	0.0	0.46189642	3.5699434	3.4801977	0.0	0.0	0.0	0.16569245	1.8944921	0.011352152	0.46859813	0.53819895	0.0	0.0	0.0	1.402226	1.878838	2.3137393	0.0	1.1849761	0.0	0.52295136	0.0	0.0	0.8260429	2.902383	1.034514	0.0	0.0	0.4207611	0.0	0.0	0.6037979	0.032943726	0.0	0.0	2.3048694	0.0	0.0	0.0	1.6266581	0.727798	0.76927567	0.5602164	0.0	0.0	1.9964159	1.2064124	0.0	0.0	1.7882833	0.13127184	0.0	0.0	1.3986132	0.0	1.543717	0.40738726	0.73453283	0.76344776	0.0	0.03599882	0.69921696	1.3557935	1.4263396	0.8330116	0.769552	0.0	0.0	0.8229265	0.0	1.5113044	3.944077
7796806090_R05C01	0.0	0.0	0.0	0.19675946	0.0	1.2203422	0.0	0.0	0.0	0.0	1.1592455	2.2105255	0.0	0.09114075	0.0	0.5197754	1.200495	0.0	0.0	0.0	2.1346915	0.0	0.60691357	1.9393575	0.0	0.0	0.0	0.0	0.956359	0.22542048	0.0	0.0	0.296113	0.0	0.6202858	0.09341526	0.0	0.08047414	0.0	0.27064872	0.88872707	0.0	0.0	0.0	0.0	0.33051157	0.0	2.8011358	0.0	0.0	0.0	0.0	0.45973125	0.46352148	0.10894966	1.5273907	1.1807737	0.14059865	0.0	1.9551363	1.1654177	0.0	0.27553445	0.14147043	1.4097569	0.0	0.0	0.42780718	0.15956831	1.1712437	1.343533	0.51544225	1.0943031	0.024046421	0.0	0.300709	0.7053144	1.2338376	0.65500855	0.38883257	1.8158321	0.0	0.0	0.0	0.0	0.0	0.0	0.57962537	0.7016344	0.53442466	0.0	0.0	0.3964157	3.9662104	0.0	0.057370186	0.0	0.0	0.0	1.3051486
9283265058_R05C02	0.0	0.0	0.0	0.0	0.016885906	0.0	0.0	0.73281145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5978246	0.0	0.0	0.0	0.0	0.0	0.019845009	1.8556395	0.98960185	0.0	0.0	1.6320524	0.0	0.0	1.9081817	0.617506	0.0	4.2199087	0.0	0.0	3.1726913	0.31506455	2.148207	0.0	0.0	2.3417363	0.0	0.0	0.0	0.0	0.2510972	0.0	0.0	0.0	0.0	0.0	2.9575458	0.0	0.2785716	0.0	0.67418313	0.2834053	0.0	0.0	0.12425327	0.0	0.0	0.0	3.5683274	0.0	3.5307145	0.0	0.62956333	0.0	0.0	3.4520345	0.0	0.42977715	0.0	0.0	0.46190107	2.8947191	0.438713	0.0	0.0	0.0	0.0	1.0710764	0.0	0.0	0.0	0.0	0.0	2.455123	0.8710675	0.33740187	0.0	1.3956418	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9422491072_R06C02	0.0	3.8239217	0.7023635	1.7706368	2.6442235	0.0	0.0	0.0	1.4657435	0.0	0.0	0.0	0.0	1.4172382	1.8770261	2.5859876	3.9103732	0.0	3.1828	0.0	0.0	1.5515633	1.1268692	0.0	0.9323662	4.155787	0.0	0.0	0.0	0.0	0.0	0.0	1.0333462	2.5715013	0.0	1.4881549	0.0	0.0	2.5498788	0.0	0.0	0.0	0.0	0.0	2.5239887	0.0	0.0	0.0	0.0	0.0	0.0	1.7494501	0.0	3.1502862	1.934031	1.2187169	0.0	0.0	4.277719	0.0	0.0	0.0	0.0	0.3132429	0.0	0.0195992	1.7297834	0.0	3.3753982	0.16908073	0.2833357	1.2013263	0.0	0.0	0.0	0.5444716	0.0	0.0	1.6768882	0.0	0.0	2.42796	0.0	1.4126741	0.9619479	0.103841305	0.0	0.0	0.0	2.4216652	1.5184121	0.0	0.0	0.0	0.0	0.98108745	1.9363251	0.0	2.2111769	0.0
